订单ID,开票日期,合伙人ID,上级合伙人ID,开票金额
850,30/05/2019,1,1976,151269.59
851,30/05/2019,1,1976,45452.85
852,30/05/2019,1,1976,38213.83
885,03/06/2019,1,1976,157379.23
886,03/06/2019,1,1976,191441.9
887,03/06/2019,1,1976,4970.22
888,03/06/2019,1,1976,150058.78
889,03/06/2019,1,1976,87637
890,03/06/2019,1,1976,5259.11
894,04/06/2019,1,1976,71928.92
895,04/06/2019,1,1976,180994.29
896,04/06/2019,1,1976,81531.41
897,04/06/2019,1,1976,26163.7
902,05/06/2019,1,1976,80092.9
912,06/06/2019,1,1976,25707.05
913,06/06/2019,1,1976,23830.95
914,06/06/2019,1,1976,6256.23
915,06/06/2019,1,1976,9320.15
928,10/06/2019,1,1976,40896.38
929,10/06/2019,1,1976,38243.51
930,10/06/2019,1,1976,66349.9
931,10/06/2019,1,1976,243877.79
941,11/06/2019,1,1976,261188.9
942,11/06/2019,1,1976,343170.69
943,11/06/2019,1,1976,6463.49
944,11/06/2019,1,1976,73719.8
945,11/06/2019,1,1976,6390
946,11/06/2019,1,1976,95225.6
951,12/06/2019,1,1976,175154.29
952,12/06/2019,1,1976,28795.2
953,12/06/2019,1,1976,472634.26
960,13/06/2019,1,1976,6186.05
961,13/06/2019,1,1976,10004.24
962,13/06/2019,1,1976,27746.65
963,13/06/2019,1,1976,54860.65
964,13/06/2019,1,1976,68683.56
965,13/06/2019,1,1976,139178.99
999,17/06/2019,1,1976,64654.45
1000,17/06/2019,1,1976,44784.5
1001,17/06/2019,1,1976,73016.4
1020,18/06/2019,1,1976,191.7
1030,19/06/2019,1,1976,174349.01
1031,19/06/2019,1,1976,61909.68
1032,19/06/2019,1,1976,7850.14
1033,19/06/2019,1,1976,4948.68
1034,19/06/2019,1,1976,404323.61
1047,20/06/2019,1,1976,9876.42
1048,20/06/2019,1,1976,94781.43
1049,20/06/2019,1,1976,237575.48
1050,20/06/2019,1,1976,60948.73
1051,20/06/2019,1,1976,14685
1052,20/06/2019,1,1976,190328.5
1053,20/06/2019,1,1976,455143.32
1064,21/06/2019,1,1976,133926
1065,21/06/2019,1,1976,99404.5
1066,21/06/2019,1,1976,5608.46
1079,24/06/2019,1,1976,597967.96
1080,24/06/2019,1,1976,32759.65
1081,24/06/2019,1,1976,73787.7
1082,24/06/2019,1,1976,376365.6
1083,24/06/2019,1,1976,288903.88
1084,24/06/2019,1,1976,76718.64
1103,25/06/2019,1,1976,136779.09
1104,25/06/2019,1,1976,17954.33
1105,25/06/2019,1,1976,205021.16
1106,25/06/2019,1,1976,34397.29
1107,25/06/2019,1,1976,15525.86
1108,25/06/2019,1,1976,799043.2
1109,25/06/2019,1,1976,153491.62
1148,26/06/2019,1,1976,10850.75
1149,26/06/2019,1,1976,284154.45
1150,26/06/2019,1,1976,1518.21
1151,26/06/2019,1,1976,19638.29
1152,26/06/2019,1,1976,11322.28
1183,27/06/2019,1,1976,47949.05
1184,27/06/2019,1,1976,27783.36
1185,27/06/2019,1,1976,23207.59
1186,27/06/2019,1,1976,157072.71
1187,27/06/2019,1,1976,28795.2
1226,28/06/2019,1,1976,71594.25
1268,01/07/2019,1,1976,100000
1269,01/07/2019,1,1976,60658.73
1270,01/07/2019,1,1976,314487.4
1271,01/07/2019,1,1976,110937.68
1277,02/07/2019,1,1976,40710.62
1278,02/07/2019,1,1976,335063.63
1279,02/07/2019,1,1976,123459.06
1286,03/07/2019,1,1976,45155.75
1287,03/07/2019,1,1976,254207.37
1296,04/07/2019,1,1976,379226.96
1302,05/07/2019,1,1976,29643.7
1314,08/07/2019,1,1976,48583.3
1315,08/07/2019,1,1976,61582.35
1316,08/07/2019,1,1976,2551.03
1337,09/07/2019,1,1976,160064.1
1338,09/07/2019,1,1976,76569.44
1339,09/07/2019,1,1976,66100.16
1353,10/07/2019,1,1976,5882.95
1354,10/07/2019,1,1976,84884.9
1365,11/07/2019,1,1976,151343.11
1392,15/07/2019,1,1976,275057.31
1393,15/07/2019,1,1976,75645.6
1425,17/07/2019,1,1976,45518.55
1426,17/07/2019,1,1976,1822.26
1450,19/07/2019,1,1976,68137.09
1469,22/07/2019,1,1976,138168.56
1470,22/07/2019,1,1976,25892
1471,22/07/2019,1,1976,234253.16
1472,22/07/2019,1,1976,12948
1488,23/07/2019,1,1976,184117.63
1489,23/07/2019,1,1976,784334.63
1490,23/07/2019,1,1976,124564.61
1509,24/07/2019,1,1976,168946.78
1510,24/07/2019,1,1976,189300.97
1511,24/07/2019,1,1976,63004.25
1512,24/07/2019,1,1976,27904.77
1513,24/07/2019,1,1976,198191.52
1514,24/07/2019,1,1976,59968.31
1550,25/07/2019,1,1976,122905.04
1551,25/07/2019,1,1976,9510.45
1574,26/07/2019,1,1976,244737.84
1575,26/07/2019,1,1976,111409.67
1629,29/07/2019,1,1976,153742.57
1630,29/07/2019,1,1976,297171.37
1631,29/07/2019,1,1976,83661.39
1632,29/07/2019,1,1976,308508.48
1666,30/07/2019,1,1976,19416.25
1667,30/07/2019,1,1976,173229.18
1668,30/07/2019,1,1976,52071.3
1669,30/07/2019,1,1976,210207.06
1705,31/07/2019,1,1976,29941.52
1720,01/08/2019,1,1976,58499.08
1721,01/08/2019,1,1976,196876.77
1722,01/08/2019,1,1976,494334.59
1723,01/08/2019,1,1976,287466.41
1724,01/08/2019,1,1976,364974.61
1725,01/08/2019,1,1976,10222.36
1726,01/08/2019,1,1976,334954.87
1727,01/08/2019,1,1976,25125.6
1728,01/08/2019,1,1976,31058.74
1729,01/08/2019,1,1976,259311.33
1739,02/08/2019,1,1976,284985.53
1740,02/08/2019,1,1976,21015.87
1741,02/08/2019,1,1976,11839.83
1757,05/08/2019,1,1976,752122.82
1758,05/08/2019,1,1976,216206.93
1759,05/08/2019,1,1976,145132.96
1760,05/08/2019,1,1976,377227.83
1775,06/08/2019,1,1976,128577.53
1776,06/08/2019,1,1976,302829.19
1777,06/08/2019,1,1976,126686.77
1778,06/08/2019,1,1976,327084.51
1779,06/08/2019,1,1976,108447.61
1780,06/08/2019,1,1976,106798.08
1781,06/08/2019,1,1976,136101.91
1782,06/08/2019,1,1976,1637619.5
1797,07/08/2019,1,1976,183757.44
1798,07/08/2019,1,1976,612060.4
1799,07/08/2019,1,1976,124567.79
1800,07/08/2019,1,1976,121384.27
1825,08/08/2019,1,1976,113769.19
1826,08/08/2019,1,1976,116.1
1827,08/08/2019,1,1976,133939.38
1828,08/08/2019,1,1976,114357.53
1829,08/08/2019,1,1976,111380.68
1839,09/08/2019,1,1976,189794.87
1840,09/08/2019,1,1976,299868.66
1841,09/08/2019,1,1976,104890.02
1842,09/08/2019,1,1976,651956.48
1843,09/08/2019,1,1976,85629.6
1844,09/08/2019,1,1976,12199
1860,12/08/2019,1,1976,61328.61
1861,12/08/2019,1,1976,20489.3
1862,12/08/2019,1,1976,47807.76
1863,12/08/2019,1,1976,124812.83
1884,13/08/2019,1,1976,59685.68
1885,13/08/2019,1,1976,33554.64
1886,13/08/2019,1,1976,42888.84
1906,14/08/2019,1,1976,254977.52
1907,14/08/2019,1,1976,118382.69
1908,14/08/2019,1,1976,76657.89
1909,14/08/2019,1,1976,10964.45
1919,15/08/2019,1,1976,470314.48
1920,15/08/2019,1,1976,87900.49
1921,15/08/2019,1,1976,158083.98
1922,15/08/2019,1,1976,12018.24
1923,15/08/2019,1,1976,290107
1935,16/08/2019,1,1976,21350.05
1936,16/08/2019,1,1976,9740.75
1937,16/08/2019,1,1976,9080.8
1957,19/08/2019,1,1976,41827.1
1958,19/08/2019,1,1976,21003.84
1959,19/08/2019,1,1976,63684.75
1960,19/08/2019,1,1976,713382.83
1982,20/08/2019,1,1976,73377.72
1983,20/08/2019,1,1976,44916.57
1984,20/08/2019,1,1976,52793.42
1985,20/08/2019,1,1976,100633.05
1986,20/08/2019,1,1976,17368.05
1987,20/08/2019,1,1976,18283.01
1988,20/08/2019,1,1976,7502.05
2014,21/08/2019,1,1976,670313.04
2015,21/08/2019,1,1976,62412.76
2016,21/08/2019,1,1976,10761.72
2036,22/08/2019,1,1976,56436.04
2037,22/08/2019,1,1976,10947.35
2038,22/08/2019,1,1976,340477.71
2068,23/08/2019,1,1976,134374.97
2069,23/08/2019,1,1976,466482.25
2070,23/08/2019,1,1976,43408.83
2071,23/08/2019,1,1976,13629.79
2072,23/08/2019,1,1976,2056968.55
2118,26/08/2019,1,1976,77271.93
2119,26/08/2019,1,1976,80862.89
2120,26/08/2019,1,1976,611999.65
2154,27/08/2019,1,1976,118601.12
2155,27/08/2019,1,1976,35930.34
2156,27/08/2019,1,1976,18841.82
2157,27/08/2019,1,1976,346582.77
2158,27/08/2019,1,1976,33351.38
2198,28/08/2019,1,1976,15512.69
2199,28/08/2019,1,1976,67308.83
2241,29/08/2019,1,1976,9585.14
2242,29/08/2019,1,1976,234310.09
2243,29/08/2019,1,1976,158710.54
2309,30/08/2019,1,1976,595006.09
2310,30/08/2019,1,1976,46523.31
2311,30/08/2019,1,1976,45366.58
2312,30/08/2019,1,1976,35468.93
2345,02/09/2019,1,1976,186675.2
2346,02/09/2019,1,1976,536554.84
2359,03/09/2019,1,1976,47308.07
2360,03/09/2019,1,1976,731346.96
2361,03/09/2019,1,1976,17547.55
2376,04/09/2019,1,1976,1060531.92
2377,04/09/2019,1,1976,61583.28
2378,04/09/2019,1,1976,57661.42
2393,05/09/2019,1,1976,88540.7
2394,05/09/2019,1,1976,746882.71
2395,05/09/2019,1,1976,14450.83
2402,06/09/2019,1,1976,33099.26
2403,06/09/2019,1,1976,37703.28
2404,06/09/2019,1,1976,48057.81
2405,06/09/2019,1,1976,23587.47
2406,06/09/2019,1,1976,66144.61
2418,09/09/2019,1,1976,112384.54
2419,09/09/2019,1,1976,14610.87
2420,09/09/2019,1,1976,229582.53
2421,09/09/2019,1,1976,336834.86
2422,09/09/2019,1,1976,412940.48
2442,10/09/2019,1,1976,37169.83
2443,10/09/2019,1,1976,14642.24
2444,10/09/2019,1,1976,14026.24
2445,10/09/2019,1,1976,2402.43
2446,10/09/2019,1,1976,18716.54
2447,10/09/2019,1,1976,59759.85
2448,10/09/2019,1,1976,34858.82
2460,11/09/2019,1,1976,798077.89
2461,11/09/2019,1,1976,235162.3
2462,11/09/2019,1,1976,99855.12
2463,11/09/2019,1,1976,42242.73
2464,11/09/2019,1,1976,68760.99
2485,12/09/2019,1,1976,445671.51
2486,12/09/2019,1,1976,9599.95
2487,12/09/2019,1,1976,121538.51
2488,12/09/2019,1,1976,66236.82
2489,12/09/2019,1,1976,5026.94
2490,12/09/2019,1,1976,4795.08
2506,16/09/2019,1,1976,129083.58
2507,16/09/2019,1,1976,165702.41
2530,17/09/2019,1,1976,18261.2
2531,17/09/2019,1,1976,117489.32
2532,17/09/2019,1,1976,197488.99
2533,17/09/2019,1,1976,202303.44
2534,17/09/2019,1,1976,4097.33
2557,18/09/2019,1,1976,28804.03
2558,18/09/2019,1,1976,16163.87
2559,18/09/2019,1,1976,32310.6
2560,18/09/2019,1,1976,587139.36
2584,19/09/2019,1,1976,85953.74
2585,19/09/2019,1,1976,98709.66
2586,19/09/2019,1,1976,229349.03
2587,19/09/2019,1,1976,212933.93
2614,20/09/2019,1,1976,20785.25
2615,20/09/2019,1,1976,68216.62
2616,20/09/2019,1,1976,24541.81
2653,23/09/2019,1,1976,277415.74
2654,23/09/2019,1,1976,388834.59
2655,23/09/2019,1,1976,9366.62
2656,23/09/2019,1,1976,59751.21
2705,24/09/2019,1,1976,113339.52
2706,24/09/2019,1,1976,71283.8
2769,25/09/2019,1,1976,239205.62
2770,25/09/2019,1,1976,288902.56
2771,25/09/2019,1,1976,371147.34
2772,25/09/2019,1,1976,463323.68
2814,26/09/2019,1,1976,613957.54
2815,26/09/2019,1,1976,204261.41
2816,26/09/2019,1,1976,220422.53
2863,27/09/2019,1,1976,180841.34
2864,27/09/2019,1,1976,137421.9
2865,27/09/2019,1,1976,413013.17
2866,27/09/2019,1,1976,38044.23
2867,27/09/2019,1,1976,45890.39
2951,29/09/2019,1,1976,13138.09
2952,29/09/2019,1,1976,823504.12
2953,29/09/2019,1,1976,428935.68
2954,29/09/2019,1,1976,1005495.62
2955,29/09/2019,1,1976,77187.49
2956,29/09/2019,1,1976,202485.67
2957,29/09/2019,1,1976,240868.51
2958,29/09/2019,1,1976,244096.51
2959,29/09/2019,1,1976,29538.43
3018,08/10/2019,1,1976,348099.64
3019,08/10/2019,1,1976,46484.35
3020,08/10/2019,1,1976,199649.66
3021,08/10/2019,1,1976,126405.31
3041,09/10/2019,1,1976,62355.12
3042,09/10/2019,1,1976,361921.79
3043,09/10/2019,1,1976,21038.05
3044,09/10/2019,1,1976,56766.17
3045,09/10/2019,1,1976,291467.83
3070,10/10/2019,1,1976,618073.18
3071,10/10/2019,1,1976,29249.39
3072,10/10/2019,1,1976,18127.03
3073,10/10/2019,1,1976,185208.17
3115,11/10/2019,1,1976,85437.46
3116,11/10/2019,1,1976,42442.86
3117,11/10/2019,1,1976,399144.09
3118,11/10/2019,1,1976,763336.15
3119,11/10/2019,1,1976,144927.68
3120,11/10/2019,1,1976,1335210.96
3121,11/10/2019,1,1976,4722.2
3149,12/10/2019,1,1976,11553.36
3150,12/10/2019,1,1976,50887.55
3168,14/10/2019,1,1976,78197.42
3169,14/10/2019,1,1976,49553.64
3170,14/10/2019,1,1976,80071.04
3205,15/10/2019,1,1976,35385.82
3206,15/10/2019,1,1976,14375.14
3236,16/10/2019,1,1976,300641.14
3237,16/10/2019,1,1976,77438.39
3273,17/10/2019,1,1976,1056893.78
3274,17/10/2019,1,1976,83655.31
3306,18/10/2019,1,1976,22263.97
3307,18/10/2019,1,1976,65715.43
3308,18/10/2019,1,1976,19894.13
3340,21/10/2019,1,1976,31908.8
3341,21/10/2019,1,1976,53103.4
3342,21/10/2019,1,1976,209223.17
3343,21/10/2019,1,1976,70563.35
3344,21/10/2019,1,1976,28204.25
3345,21/10/2019,1,1976,11784.34
3412,22/10/2019,1,1976,119486.34
3413,22/10/2019,1,1976,410077.92
3478,23/10/2019,1,1976,49202.56
3479,23/10/2019,1,1976,269615.09
3480,23/10/2019,1,1976,31569.13
3481,23/10/2019,1,1976,39770.1
3482,23/10/2019,1,1976,54260.5
3483,23/10/2019,1,1976,948655.12
3560,24/10/2019,1,1976,99024.64
3561,24/10/2019,1,1976,94687.12
3562,24/10/2019,1,1976,95253.71
3643,25/10/2019,1,1976,13217.96
3644,25/10/2019,1,1976,473086.5
3645,25/10/2019,1,1976,77571.31
3692,28/10/2019,1,1976,525229.25
3693,28/10/2019,1,1976,70975.56
3694,28/10/2019,1,1976,8039.88
3695,28/10/2019,1,1976,18956.66
3715,29/10/2019,1,1976,142566.96
3716,29/10/2019,1,1976,420299.77
3717,29/10/2019,1,1976,4284.27
3718,29/10/2019,1,1976,561826.91
3719,29/10/2019,1,1976,208704.05
3753,30/10/2019,1,1976,3017.81
3802,01/11/2019,1,1976,1073333.72
3828,04/11/2019,1,1976,347645.88
3854,05/11/2019,1,1976,898191.54
3885,06/11/2019,1,1976,1492028.57
3910,07/11/2019,1,1976,1514712.26
3939,08/11/2019,1,1976,990364.79
3971,11/11/2019,1,1976,984201.48
4017,12/11/2019,1,1976,1211019.9
4047,13/11/2019,1,1976,1136646.3
4073,14/11/2019,1,1976,495796.27
4097,15/11/2019,1,1976,402189.38
4138,18/11/2019,1,1976,38444.2
4178,19/11/2019,1,1976,359030.55
4214,20/11/2019,1,1976,1461938.89
4254,21/11/2019,1,1976,294665.35
4305,22/11/2019,1,1976,1256277.93
4383,25/11/2019,1,1976,81486.56
4459,26/11/2019,1,1976,390344.13
4540,27/11/2019,1,1976,2175908.31
4622,28/11/2019,1,1976,125836.67
4721,29/11/2019,1,1976,1681069.33
4772,02/12/2019,1,1976,41428.99
4773,02/12/2019,1,1976,184188.42
4803,03/12/2019,1,1976,494114.67
4804,03/12/2019,1,1976,56774.41
4805,03/12/2019,1,1976,122111.28
4806,03/12/2019,1,1976,688890.32
4835,04/12/2019,1,1976,42772.83
4836,04/12/2019,1,1976,87021.11
4837,04/12/2019,1,1976,481927.05
4838,04/12/2019,1,1976,16728.89
4839,04/12/2019,1,1976,31066.81
4840,04/12/2019,1,1976,1431.71
4841,04/12/2019,1,1976,831127.9
4842,04/12/2019,1,1976,329833.69
4874,05/12/2019,1,1976,100611.55
4875,05/12/2019,1,1976,24857.81
4876,05/12/2019,1,1976,135495.03
4877,05/12/2019,1,1976,62611.64
4878,05/12/2019,1,1976,20972.05
4879,05/12/2019,1,1976,555721.56
4880,05/12/2019,1,1976,343888.33
4900,06/12/2019,1,1976,73815.18
4901,06/12/2019,1,1976,14881.69
4902,06/12/2019,1,1976,56223.51
4903,06/12/2019,1,1976,211396.3
4947,09/12/2019,1,1976,49073.61
4948,09/12/2019,1,1976,54035.67
4949,09/12/2019,1,1976,19549.01
4950,09/12/2019,1,1976,29771.19
4951,09/12/2019,1,1976,23981.71
4981,10/12/2019,1,1976,193955.61
4982,10/12/2019,1,1976,785015.07
4983,10/12/2019,1,1976,10495.2
4984,10/12/2019,1,1976,19925.97
4985,10/12/2019,1,1976,273752.23
5038,11/12/2019,1,1976,4928.38
5039,11/12/2019,1,1976,5359.13
5040,11/12/2019,1,1976,547375
5041,11/12/2019,1,1976,645193.01
5089,12/12/2019,1,1976,25534.94
5090,12/12/2019,1,1976,29142.34
5091,12/12/2019,1,1976,99793.07
5092,12/12/2019,1,1976,1144641.02
5147,13/12/2019,1,1976,117061.45
5148,13/12/2019,1,1976,493814.15
5197,16/12/2019,1,1976,47004.98
5198,16/12/2019,1,1976,168440.04
5199,16/12/2019,1,1976,33043.33
5200,16/12/2019,1,1976,25259.11
5201,16/12/2019,1,1976,6872.16
5257,17/12/2019,1,1976,9708.24
5258,17/12/2019,1,1976,9595.71
5259,17/12/2019,1,1976,583340.96
5298,18/12/2019,1,1976,1043106.21
5374,19/12/2019,1,1976,190783.87
5375,19/12/2019,1,1976,195360.16
5376,19/12/2019,1,1976,13201.91
5377,19/12/2019,1,1976,5126.76
5378,19/12/2019,1,1976,10061.36
5379,19/12/2019,1,1976,14984.94
5380,19/12/2019,1,1976,202422.81
5381,19/12/2019,1,1976,251535.97
5382,19/12/2019,1,1976,161653.77
5383,19/12/2019,1,1976,133529.58
5384,19/12/2019,1,1976,68194.23
5385,19/12/2019,1,1976,150411.28
5386,19/12/2019,1,1976,172212.79
5462,20/12/2019,1,1976,420969.83
5551,23/12/2019,1,1976,112917.24
5552,23/12/2019,1,1976,16933.47
5553,23/12/2019,1,1976,14764.27
5554,23/12/2019,1,1976,22098.28
5555,23/12/2019,1,1976,133321.35
5556,23/12/2019,1,1976,96983.83
5557,23/12/2019,1,1976,30160.04
5558,23/12/2019,1,1976,380178.62
5559,23/12/2019,1,1976,446175.41
5631,24/12/2019,1,1976,210071.33
5632,24/12/2019,1,1976,114582.05
5633,24/12/2019,1,1976,157959.28
5634,24/12/2019,1,1976,172629.62
5635,24/12/2019,1,1976,150581.1
5636,24/12/2019,1,1976,437716.07
5637,24/12/2019,1,1976,158835.4
5638,24/12/2019,1,1976,257754.37
5738,25/12/2019,1,1976,1035371.36
5739,25/12/2019,1,1976,160444.12
5740,25/12/2019,1,1976,1849.29
5741,25/12/2019,1,1976,455246.16
5742,25/12/2019,1,1976,97492.66
5743,25/12/2019,1,1976,353763.28
5848,26/12/2019,1,1976,10324.93
5849,26/12/2019,1,1976,19406.71
5850,26/12/2019,1,1976,795033.41
5851,26/12/2019,1,1976,274961.17
5852,26/12/2019,1,1976,630606.52
5960,27/12/2019,1,1976,274123.88
6199,30/12/2019,1,1976,1130225.36
1,02/01/2019,1,,1165755.97
2,03/01/2019,1,,12542.52
3,03/01/2019,1,,1293390.78
4,03/01/2019,1,,200645.25
13,04/01/2019,1,,730941.17
15,07/01/2019,1,,206988.87
16,07/01/2019,1,,72097.14
17,08/01/2019,1,,73594.64
18,08/01/2019,1,,229705.59
23,10/01/2019,1,,298696.38
24,10/01/2019,1,,29993.22
31,11/01/2019,1,,886937.62
34,14/01/2019,1,,177700.1
35,14/01/2019,1,,658766.26
39,15/01/2019,1,,830986.44
40,15/01/2019,1,,3593500
57,17/01/2019,1,,1053674.02
69,18/01/2019,1,,54215.98
80,21/01/2019,1,,146738.9
81,21/01/2019,1,,232901.32
91,22/01/2019,1,,503056.26
